months,P3,P10,P25,P50,P75,P90,P97,,,,,,,,
141 ,136.5 ,140.5 ,144.9 ,149.3 ,153.8 ,157.4 ,160.9 ,,,,,,,,
142 ,136.9 ,141.0 ,145.4 ,149.7 ,154.2 ,157.8 ,161.2 ,,,,,,,,
143 ,137.4 ,141.5 ,145.8 ,150.1 ,154.5 ,158.1 ,161.5 ,,,,,,,,
144 ,137.9 ,142.0 ,146.3 ,150.5 ,154.9 ,158.5 ,161.8 ,,,,,,,,
145 ,138.4 ,142.5 ,146.8 ,150.9 ,155.3 ,158.8 ,162.1 ,,,,,,,,
146 ,138.9 ,143.0 ,147.2 ,151.3 ,155.6 ,159.0 ,162.4 ,,,,,,,,
147 ,139.4 ,143.5 ,147.7 ,151.8 ,156.0 ,159.3 ,162.7 ,,,,,,,,
148 ,139.8 ,144.0 ,148.1 ,152.2 ,156.3 ,159.5 ,162.9 ,,,,,,,,
149 ,140.3 ,144.5 ,148.6 ,152.6 ,156.7 ,159.8 ,163.2 ,,,,,,,,
150 ,140.8 ,145.0 ,149.0 ,153.0 ,157.0 ,160.0 ,163.5 ,,,,,,,,
151 ,141.2 ,145.3 ,149.3 ,153.3 ,157.2 ,160.3 ,163.7 ,,,,,,,,
152 ,141.6 ,145.7 ,149.6 ,153.5 ,157.5 ,160.5 ,163.9 ,,,,,,,,
153 ,142.0 ,146.0 ,149.9 ,153.8 ,157.7 ,160.8 ,164.2 ,,,,,,,,
154 ,142.4 ,146.3 ,150.1 ,154.0 ,157.9 ,161.0 ,164.4 ,,,,,,,,
155 ,142.8 ,146.7 ,150.4 ,154.3 ,158.2 ,161.3 ,164.6 ,,,,,,,,
156 ,143.2 ,147.0 ,150.7 ,154.5 ,158.4 ,161.5 ,164.8 ,,,,,,,,
157 ,143.6 ,147.3 ,151.0 ,154.8 ,158.6 ,161.8 ,165.0 ,,,,,,,,
158 ,144.0 ,147.7 ,151.3 ,155.0 ,158.8 ,162.0 ,165.2 ,,,,,,,,
159 ,144.4 ,148.0 ,151.6 ,155.3 ,159.1 ,162.3 ,165.4 ,,,,,,,,
160 ,144.7 ,148.3 ,151.8 ,155.5 ,159.3 ,162.5 ,165.6 ,,,,,,,,
161 ,145.1 ,148.7 ,152.1 ,155.8 ,159.5 ,162.8 ,165.8 ,,,,,,,,
162 ,145.5 ,149.0 ,152.4 ,156.0 ,159.7 ,163.0 ,166.0 ,,,,,,,,
163 ,145.7 ,149.2 ,152.5 ,156.1 ,159.8 ,163.1 ,166.2 ,,,,,,,,
