months,P3,P15,P25,P50,P75,P85,P97
124,24.7 ,27.6 ,29.3 ,32.5 ,37.3 ,41.0 ,50.6 
125,24.8 ,27.8 ,29.6 ,32.8 ,37.7 ,41.4 ,51.1 
126,25.0 ,28.0 ,29.8 ,33.0 ,38.0 ,41.8 ,51.6 
127,25.2 ,28.3 ,30.1 ,33.4 ,38.5 ,42.3 ,52.1 
128,25.4 ,28.5 ,30.3 ,33.8 ,38.9 ,42.8 ,52.7 
129,25.7 ,28.8 ,30.6 ,34.2 ,39.4 ,43.3 ,53.2 
130,25.9 ,29.1 ,30.9 ,34.5 ,39.9 ,43.7 ,53.7 
131,26.1 ,29.3 ,31.1 ,34.9 ,40.3 ,44.2 ,54.3 
132,26.3 ,29.6 ,31.4 ,35.3 ,40.8 ,44.7 ,54.8 
133,26.5 ,29.9 ,31.7 ,35.7 ,41.3 ,45.2 ,55.3 
134,26.7 ,30.1 ,31.9 ,36.1 ,41.7 ,45.6 ,55.9 
135,27.0 ,30.4 ,32.2 ,36.5 ,42.2 ,46.1 ,56.4 
136,27.2 ,30.7 ,32.5 ,36.8 ,42.6 ,46.6 ,56.9 
137,27.4 ,30.9 ,32.7 ,37.2 ,43.1 ,47.0 ,57.5 
138,27.6 ,31.2 ,33.0 ,37.6 ,43.5 ,47.5 ,58.0 
139,27.8 ,31.5 ,33.4 ,38.1 ,44.0 ,48.0 ,58.6 
140,28.1 ,31.8 ,33.7 ,38.5 ,44.5 ,48.5 ,59.2 
141,28.3 ,32.2 ,34.1 ,39.0 ,45.0 ,49.0 ,59.8 
142,28.5 ,32.5 ,34.5 ,39.4 ,45.5 ,49.4 ,60.3 
143,28.8 ,32.8 ,34.8 ,39.9 ,46.0 ,49.9 ,60.9 
144,29.0 ,33.1 ,35.2 ,40.3 ,46.5 ,50.4 ,61.5 
145,29.3 ,33.4 ,35.6 ,40.8 ,47.0 ,50.9 ,62.1 
146,29.5 ,33.7 ,35.9 ,41.2 ,47.5 ,51.4 ,62.7 
147,29.8 ,34.1 ,36.3 ,41.7 ,48.0 ,52.0 ,63.3 
148,30.0 ,34.4 ,36.6 ,42.1 ,48.5 ,52.5 ,63.8 
149,30.3 ,34.7 ,37.0 ,42.6 ,49.0 ,53.0 ,64.4 
150,30.5 ,35.0 ,37.3 ,43.0 ,49.5 ,53.5 ,65.0 
151,30.8 ,35.5 ,37.9 ,43.6 ,50.1 ,54.1 ,65.6 
152,31.2 ,36.0 ,38.4 ,44.2 ,50.7 ,54.7 ,66.2 
153,31.5 ,36.5 ,39.0 ,44.8 ,51.3 ,55.3 ,66.8 
154,31.8 ,37.0 ,39.6 ,45.3 ,51.8 ,55.8 ,67.3 
155,32.2 ,37.5 ,40.1 ,45.9 ,52.4 ,56.4 ,67.9 
156,32.5 ,38.0 ,40.7 ,46.5 ,53.0 ,57.0 ,68.5 
157,32.9 ,38.5 ,41.3 ,47.1 ,53.6 ,57.6 ,69.1 
158,33.3 ,39.0 ,41.8 ,47.7 ,54.1 ,58.1 ,69.7 
159,33.8 ,39.5 ,42.4 ,48.3 ,54.7 ,58.7 ,70.4 
160,34.2 ,40.0 ,42.9 ,48.8 ,55.3 ,59.3 ,71.0 
161,34.6 ,40.5 ,43.5 ,49.4 ,55.8 ,59.8 ,71.6 
162,35.0 ,41.0 ,44.0 ,50.0 ,56.4 ,60.4 ,72.2 
163,35.5 ,41.5 ,44.5 ,50.4 ,56.8 ,60.8 ,72.6 
164,36.0 ,42.0 ,44.9 ,50.8 ,57.3 ,61.3 ,73.0 
165,36.5 ,42.5 ,45.4 ,51.3 ,57.7 ,61.7 ,73.4 
166,37.0 ,43.0 ,45.9 ,51.7 ,58.1 ,62.1 ,73.7 
167,37.5 ,43.5 ,46.3 ,52.1 ,58.6 ,62.6 ,74.1 
168,38.0 ,44.0 ,46.8 ,52.5 ,59.0 ,63.0 ,74.5 
169,38.5 ,44.5 ,47.3 ,52.9 ,59.3 ,63.3 ,74.8 
170,39.0 ,45.0 ,47.7 ,53.3 ,59.7 ,63.7 ,75.1 
171,39.5 ,45.5 ,48.2 ,53.7 ,60.0 ,64.0 ,75.5 
172,40.0 ,46.0 ,48.6 ,54.1 ,60.3 ,64.3 ,75.8 
173,40.5 ,46.5 ,49.1 ,54.5 ,60.7 ,64.7 ,76.1 
174,41.0 ,47.0 ,49.5 ,54.9 ,61.0 ,65.0 ,76.4 
175,41.3 ,47.3 ,49.8 ,55.2 ,61.3 ,65.3 ,76.6 
176,41.7 ,47.7 ,50.2 ,55.4 ,61.5 ,65.5 ,76.8 
177,42.0 ,48.0 ,50.5 ,55.7 ,61.8 ,65.8 ,77.0 
178,42.3 ,48.3 ,50.8 ,56.0 ,62.0 ,66.0 ,77.2 
179,42.7 ,48.7 ,51.2 ,56.2 ,62.3 ,66.3 ,77.4 
180,43.0 ,49.0 ,51.5 ,56.5 ,62.5 ,66.5 ,77.6 
181,43.3 ,49.3 ,51.8 ,56.8 ,62.8 ,66.8 ,77.8 
182,43.7 ,49.6 ,52.0 ,57.0 ,63.0 ,67.0 ,77.9 
183,44.0 ,49.9 ,52.3 ,57.3 ,63.3 ,67.3 ,78.1 
184,44.3 ,50.2 ,52.5 ,57.5 ,63.5 ,67.5 ,78.2 
185,44.7 ,50.5 ,52.8 ,57.8 ,63.8 ,67.8 ,78.4 
186,45.0 ,50.8 ,53.0 ,58.0 ,64.0 ,68.0 ,78.5 
187,45.3 ,51.0 ,53.2 ,58.2 ,64.2 ,68.2 ,78.6 
188,45.6 ,51.2 ,53.4 ,58.3 ,64.3 ,68.3 ,78.8 
189,45.9 ,51.4 ,53.6 ,58.5 ,64.5 ,68.5 ,78.9 
190,46.2 ,51.6 ,53.7 ,58.7 ,64.7 ,68.7 ,79.0 
191,46.5 ,51.8 ,53.9 ,58.8 ,64.8 ,68.8 ,79.2 
192,46.8 ,52.0 ,54.1 ,59.0 ,65.0 ,69.0 ,79.3 
193,47.1 ,52.2 ,54.3 ,59.2 ,65.2 ,69.1 ,79.4 
194,47.4 ,52.3 ,54.4 ,59.3 ,65.3 ,69.2 ,79.5 
195,47.7 ,52.5 ,54.6 ,59.5 ,65.5 ,69.4 ,79.6 
196,47.9 ,52.7 ,54.8 ,59.7 ,65.7 ,69.5 ,79.6 
197,48.2 ,52.8 ,54.9 ,59.8 ,65.8 ,69.6 ,79.7 
198,48.5 ,53.0 ,55.1 ,60.0 ,66.0 ,69.7 ,79.8 
199,48.6 ,53.2 ,55.3 ,60.2 ,66.1 ,69.8 ,79.8 
200,48.8 ,53.3 ,55.4 ,60.3 ,66.2 ,69.8 ,79.9 
201,48.9 ,53.5 ,55.6 ,60.5 ,66.3 ,69.9 ,79.9 
202,49.0 ,53.7 ,55.8 ,60.7 ,66.4 ,69.9 ,79.9 
203,49.2 ,53.8 ,55.9 ,60.8 ,66.5 ,70.0 ,80.0 
204,49.3 ,54.0 ,56.1 ,61.0 ,66.6 ,70.0 ,80.0 
205,49.4 ,54.1 ,56.3 ,61.2 ,66.7 ,70.1 ,80.0 
206,49.5 ,54.2 ,56.4 ,61.3 ,66.8 ,70.1 ,80.0 
207,49.7 ,54.4 ,56.6 ,61.5 ,66.9 ,70.2 ,80.0 
208,49.8 ,54.5 ,56.7 ,61.7 ,67.0 ,70.2 ,80.0 
209,49.9 ,54.6 ,56.9 ,61.8 ,67.1 ,70.3 ,80.0 
210,50.0 ,54.7 ,57.0 ,62.0 ,67.2 ,70.3 ,80.0 
211,50.1 ,54.8 ,57.1 ,62.1 ,67.3 ,70.3 ,80.0 
212,50.1 ,54.8 ,57.2 ,62.2 ,67.3 ,70.4 ,80.0 
213,50.2 ,54.9 ,57.3 ,62.3 ,67.4 ,70.4 ,80.0 
214,50.2 ,54.9 ,57.3 ,62.3 ,67.5 ,70.4 ,80.0 
215,50.3 ,55.0 ,57.4 ,62.4 ,67.5 ,70.5 ,80.0 
216,50.3 ,55.0 ,57.5 ,62.5 ,67.6 ,70.5 ,80.0 
217,50.3 ,55.0 ,57.6 ,62.6 ,67.7 ,70.6 ,80.0 
218,50.4 ,55.0 ,57.7 ,62.7 ,67.7 ,70.7 ,80.0 
219,50.4 ,55.0 ,57.8 ,62.8 ,67.8 ,70.8 ,80.0 
220,50.4 ,55.0 ,57.8 ,62.8 ,67.9 ,70.8 ,80.0 
221,50.5 ,55.0 ,57.9 ,62.9 ,67.9 ,70.9 ,80.0 
222,50.5 ,55.0 ,58.0 ,63.0 ,68.0 ,71.0 ,80.0 
