months,P3,P15,P25,P50,P75,P85,P97
152,32.2 ,37.6 ,39.7 ,44.3 ,49.5 ,52.5 ,60.2 
153,32.5 ,37.9 ,40.0 ,44.6 ,49.8 ,52.8 ,60.5 
154,32.8 ,38.1 ,40.3 ,44.8 ,50.0 ,53.0 ,60.7 
155,33.2 ,38.4 ,40.6 ,45.1 ,50.3 ,53.3 ,61.0 
156,33.5 ,38.7 ,40.9 ,45.4 ,50.5 ,53.5 ,61.2 
157,33.8 ,39.0 ,41.2 ,45.7 ,50.8 ,53.8 ,61.5 
158,34.2 ,39.3 ,41.5 ,45.9 ,51.0 ,54.0 ,61.7 
159,34.5 ,39.6 ,41.8 ,46.2 ,51.3 ,54.3 ,62.0 
160,34.8 ,39.8 ,42.0 ,46.5 ,51.5 ,54.5 ,62.2 
161,35.2 ,40.1 ,42.3 ,46.7 ,51.8 ,54.8 ,62.5 
162,35.5 ,40.4 ,42.6 ,47.0 ,52.0 ,55.0 ,62.7 
163,35.8 ,40.6 ,42.8 ,47.2 ,52.2 ,55.2 ,62.9 
164,36.0 ,40.8 ,43.0 ,47.4 ,52.3 ,55.3 ,63.1 
165,36.3 ,41.1 ,43.2 ,47.6 ,52.5 ,55.5 ,63.3 
166,36.6 ,41.3 ,43.4 ,47.7 ,52.7 ,55.7 ,63.5 
167,36.8 ,41.5 ,43.6 ,47.9 ,52.8 ,55.8 ,63.7 
168,37.1 ,41.7 ,43.8 ,48.1 ,53.0 ,56.0 ,63.9 
169,37.4 ,41.9 ,44.0 ,48.3 ,53.2 ,56.2 ,64.1 
170,37.6 ,42.1 ,44.2 ,48.4 ,53.3 ,56.3 ,64.3 
171,37.9 ,42.3 ,44.4 ,48.6 ,53.5 ,56.5 ,64.5 
172,38.1 ,42.4 ,44.6 ,48.8 ,53.7 ,56.7 ,64.6 
173,38.4 ,42.6 ,44.8 ,48.9 ,53.8 ,56.8 ,64.8 
174,38.6 ,42.8 ,45.0 ,49.1 ,54.0 ,57.0 ,65.0 
175,38.7 ,42.9 ,45.1 ,49.2 ,54.1 ,57.1 ,65.1 
176,38.8 ,43.1 ,45.2 ,49.3 ,54.2 ,57.2 ,65.2 
177,39.0 ,43.2 ,45.4 ,49.5 ,54.3 ,57.3 ,65.3 
178,39.1 ,43.3 ,45.5 ,49.6 ,54.3 ,57.3 ,65.4 
179,39.2 ,43.5 ,45.6 ,49.7 ,54.4 ,57.4 ,65.5 
180,39.3 ,43.6 ,45.7 ,49.8 ,54.5 ,57.5 ,65.6 
181,39.4 ,43.7 ,45.8 ,49.9 ,54.6 ,57.6 ,65.7 
182,39.5 ,43.8 ,45.9 ,50.0 ,54.6 ,57.6 ,65.7 
183,39.7 ,43.9 ,46.0 ,50.2 ,54.7 ,57.7 ,65.8 
184,39.8 ,44.0 ,46.1 ,50.3 ,54.7 ,57.7 ,65.9 
185,39.9 ,44.1 ,46.2 ,50.4 ,54.8 ,57.8 ,65.9 
186,40.0 ,44.2 ,46.3 ,50.5 ,54.8 ,57.8 ,66.0 
187,40.1 ,44.3 ,46.4 ,50.6 ,54.8 ,57.8 ,66.0 
188,40.2 ,44.4 ,46.4 ,50.6 ,54.9 ,57.9 ,66.1 
189,40.3 ,44.5 ,46.5 ,50.7 ,54.9 ,57.9 ,66.1 
190,40.3 ,44.6 ,46.6 ,50.7 ,54.9 ,57.9 ,66.1 
191,40.4 ,44.7 ,46.6 ,50.8 ,55.0 ,58.0 ,66.2 
192,40.5 ,44.8 ,46.7 ,50.8 ,55.0 ,58.0 ,66.2 
193,40.6 ,44.9 ,46.8 ,50.8 ,55.0 ,58.0 ,66.2 
194,40.7 ,44.9 ,46.8 ,50.9 ,55.0 ,58.0 ,66.3 
195,40.8 ,45.0 ,46.9 ,50.9 ,55.0 ,58.0 ,66.3 
196,40.8 ,45.0 ,46.9 ,50.9 ,55.0 ,58.0 ,66.3 
197,40.9 ,45.1 ,47.0 ,51.0 ,55.0 ,58.0 ,66.4 
198,41.0 ,45.1 ,47.0 ,51.0 ,55.0 ,58.0 ,66.4 
199,41.1 ,45.1 ,47.0 ,51.0 ,55.0 ,58.0 ,66.5 
200,41.2 ,45.2 ,47.1 ,51.0 ,55.0 ,58.0 ,66.5 
201,41.3 ,45.2 ,47.1 ,51.0 ,55.0 ,58.0 ,66.6 
202,41.3 ,45.2 ,47.1 ,51.0 ,55.0 ,58.0 ,66.6 
203,41.4 ,45.3 ,47.2 ,51.0 ,55.0 ,58.0 ,66.7 
204,41.5 ,45.3 ,47.2 ,51.0 ,55.0 ,58.0 ,66.7 
205,41.6 ,45.3 ,47.2 ,51.0 ,55.0 ,58.0 ,66.8 
206,41.6 ,45.4 ,47.2 ,51.0 ,55.0 ,58.0 ,66.8 
207,41.7 ,45.4 ,47.3 ,51.0 ,55.0 ,58.0 ,66.9 
208,41.7 ,45.4 ,47.3 ,51.0 ,55.0 ,58.0 ,66.9 
209,41.8 ,45.5 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
210,41.8 ,45.5 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
211,41.8 ,45.5 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
212,41.9 ,45.6 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
213,41.9 ,45.6 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
214,41.9 ,45.6 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
215,42.0 ,45.7 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
216,42.0 ,45.7 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
217,42.0 ,45.7 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
218,42.0 ,45.8 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
219,42.0 ,45.8 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
220,42.0 ,45.8 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
221,42.0 ,45.9 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
222,42.0 ,45.9 ,47.3 ,51.0 ,55.0 ,58.0 ,67.0 
